2 front headrests,2 rear headrests,3 front headrests,3 rear headrests,4-wheel ABS,Emergency braking assist,Front and rear ventilated disc brakes,Front center 3-point belt,LED headlamp,Passenger airbag deactivation switch,Passenger airbag occupant sensing deactivation,Rear center 3-point belt,Rear door child safety locks,Rear fixed headrests,Rear folding headrests,Rear height adjustable headrests,Rear integrated headrests,Rear power adjustable headrests,Turn signal mirrors,Unnamed: 0,Ventilated front disc / rear drum brakes,Ventilated front disc / solid rear disc brakes,adaptive headlights,auto delay off headlamps,blind spot and lane departure warnings accident avoidance system,blind spot warning accident avoidance system,brake drying,child seat anchors,cornering lights,daytime running lights,driver only with head protection chamber side-mounted airbags,dual front and dual rear side-mounted airbags,dual front and dual rear with head protection chambers side-mounted airbags,dual front side-mounted airbags,dual front with head protection chambers side-mounted airbags,dusk sensing headlamps,emergency braking preparation,engine immobilizer,front and rear head airbags,front fog/driving lights,front head airbags,"front, rear and third row head airbags",high pressure washers headlamps,lane departure warning accident avoidance system,post-collision safety system,pre-collision safety system,remote anti-theft alarm system,self-leveling headlights,stability control,tire pressure monitoring,traction control,xenon high intensity discharge headlamp,Base engine size,Base engine type,Cam type,Cylinders_x,Horsepower,Torque,Turning circle,Valve timing,Valves,cylinder deactivation,direct injection,Basic Warranty,Combined MPG,Cylinders_y,Drive Train,Engine Type,Total Seating,Transmission,car_model,price
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,73700
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Sport Carbon 4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,49895
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,44895
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,40195
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,41445
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,42895
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,42195
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Lusso 4dr Sedan AWD (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,44695
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti 4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,40195
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,20,V6,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,38195
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Sport Carbon 4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,26,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,47895
yes,yes,,no,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Sport 4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,yes,,yes,,yes,,,,yes,,yes,,yes,yes,,,,yes,,,yes,yes,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,39445
yes,,,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,,,yes,Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A),,,,yes,,,,yes,,yes,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,2.9 L,gas,Double overhead cam (DOHC),V6,505 hp @ 6500 rpm,443 ft-lbs. @ 2500 rpm,,Variable,24,yes,yes,4 yr./ 50000 mi.,27,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Giulia Sedan Features & Specs | Edmunds,42695
yes,,,yes,yes,yes,yes,,,,,yes,,,,,,,yes,Quadrifoglio 4dr SUV AWD (2.9L 6cyl Turbo 8A),,no,yes,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,,,yes,,,yes,,yes,yes,yes,yes,yes,2.9 L,gas,Double overhead cam (DOHC),V6,505 hp @ 6500 rpm,443 ft-lbs. @ 2500 rpm,,Variable,24,yes,yes,4 yr./ 50000 mi.,19,V6,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,79995
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,43995
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,42195
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,44195
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,46995
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,Sport 4dr SUV (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,rear wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,41995
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,4dr SUV (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,40195
yes,,,yes,yes,yes,no,,,,,yes,,,,,,,yes,4dr SUV AWD (2.0L 4cyl Turbo 8A),,yes,no,,,no,,yes,,yes,,,,yes,,yes,no,yes,,,,,no,,,no,,yes,yes,yes,yes,yes,2.0 L,gas,Single overhead cam (SOHC),inline 4,280 hp @ 5200 rpm,306 ft-lbs. @ 2000 rpm,,Variable,16,no,yes,4 yr./ 50000 mi.,24,inline 4,all wheel drive,gas,5,8-speed shiftable automatic,2019 Alfa Romeo Stelvio SUV Features & Specs | Edmunds,42195
yes,,,,yes,yes,yes,,yes,,,,,,,,,,,AMR 2dr Coupe (5.2L 12cyl Turbo 8A),,,,,,,,,yes,yes,,,,yes,,,,yes,,,yes,,,,,,yes,,yes,yes,yes,,5.2 L,gas,Double overhead cam (DOHC),V12,630 hp @ 6500 rpm,516 ft-lbs. @ 1500 rpm,,Variable,48,yes,,,17,V12,rear wheel drive,gas,4,8-speed shiftable automatic,2019 Aston Martin DB11 Coupe Features & Specs | Edmunds,241000
yes,,,,yes,yes,yes,,yes,,,,,,,,,,,V8 Volante 2dr Convertible (4.0L 8cyl Turbo 8A),,,,,,,,yes,yes,yes,,,,yes,,,,yes,,,yes,,,,,,yes,,yes,yes,yes,,4.0 L,gas,Double overhead cam (DOHC),V8,503 hp @ 6000 rpm,513 ft-lbs. @ 2000 rpm,,Variable,32,yes,yes,,,V8,rear wheel drive,gas,4,8-speed shiftable automatic,2019 Aston Martin DB11 Convertible Features & Specs | Edmunds,216495
yes,,,,yes,yes,yes,,yes,,,,,,,,,,,V8 2dr Coupe (4.0L 8cyl Turbo 8A),,,,,,,,,yes,yes,,,,yes,,,,yes,,,yes,,,,,,yes,,yes,yes,yes,,4.0 L,gas,Double overhead cam (DOHC),V8,503 hp @ 6000 rpm,513 ft-lbs. @ 2000 rpm,,Variable,32,yes,yes,,20,V8,rear wheel drive,gas,4,8-speed shiftable automatic,2019 Aston Martin DB11 Coupe Features & Specs | Edmunds,201495
yes,yes,,,yes,yes,yes,,,,,,yes,,,,yes,,,4dr Sedan (5.9L 12cyl 8A),,,,yes,,,,yes,,,,,,yes,,yes,,yes,yes,,,,,,,,yes,,yes,yes,yes,yes,5.9 L,gas,Double overhead cam (DOHC),V12,552 hp @ 6650 rpm,465 ft-lbs. @ 5500 rpm,41.0 ft.,Variable,48,,,,17,V12,rear wheel drive,gas,4,8-speed shiftable automatic,2017 Aston Martin Rapide S Sedan Features & Specs | Edmunds,206000
yes,,,,yes,yes,,,,,yes,,,,,,,,,2dr Coupe (5.9L 12cyl 7M),,,,yes,,,,,,,,,,yes,,yes,,yes,,,,,yes,,,,yes,yes,yes,yes,yes,yes,5.9 L,gas,Double overhead cam (DOHC),V12,563 hp @ 6650 rpm,457 ft-lbs. @ 5500 rpm,38.7 ft.,Variable,48,,,,12,V12,rear wheel drive,gas,2,7-speed manual,2017 Aston Martin V12 Vantage S Coupe Features & Specs | Edmunds,197395
yes,,,,yes,yes,,,,,yes,,,,,,,,,2dr Coupe (5.9L 12cyl 7AM),,,,yes,,,,,,,,,,yes,,yes,,yes,,,,,yes,,,,yes,yes,yes,yes,yes,yes,5.9 L,gas,Double overhead cam (DOHC),V12,563 hp @ 6650 rpm,457 ft-lbs. @ 5500 rpm,38.7 ft.,Variable,48,,,,14,V12,rear wheel drive,gas,2,7-speed automated manual,2017 Aston Martin V12 Vantage S Coupe Features & Specs | Edmunds,186195
yes,yes,,,yes,yes,,,,,,,,,,,yes,,,Volante 2dr Convertible (5.9L 12cyl 8A),,,,yes,,,,,,yes,,,,yes,,yes,,yes,,,yes,,,,,,yes,,yes,yes,yes,yes,5.9 L,gas,Double overhead cam (DOHC),V12,580 hp @ 7000 rpm,465 ft-lbs. @ 5500 rpm,,Variable,48,,,,,V12,rear wheel drive,gas,4,8-speed shiftable automatic,2018 Aston Martin Vanquish S Convertible Features & Specs | Edmunds,311650
yes,,,,yes,yes,,,,,,,,,,,,,,2dr Coupe (5.9L 12cyl 8A),,,,yes,,,,,,yes,,,,yes,,yes,,yes,,,yes,,,,,,yes,,yes,yes,yes,yes,5.9 L,gas,Double overhead cam (DOHC),V12,580 hp @ 7000 rpm,465 ft-lbs. @ 5500 rpm,,Variable,48,,,,,V12,rear wheel drive,gas,2,8-speed shiftable automatic,2018 Aston Martin Vanquish S Coupe Features & Specs | Edmunds,293650
yes,,,,yes,yes,yes,,yes,,,,,,,,,,,2dr Coupe (4.0L 8cyl Turbo 8A),,,,,,,,,,yes,,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,yes,,4.0 L,gas,Double overhead cam (DOHC),V8,503 hp @ 6000 rpm,505 ft-lbs. @ 2000 rpm,,Variable,32,,,,21,V8,rear wheel drive,gas,2,8-speed shiftable automatic,2019 Aston Martin Vantage Coupe Features & Specs | Edmunds,149995
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium Plus quattro w/Prod. End 6/18 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),,yes,,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,25,inline 4,all wheel drive,gas,4,6-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,44300
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium w/Prod. End 6/18 2dr Convertible (2.0L 4cyl Turbo 7AM),,yes,,,,,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,28,inline 4,front wheel drive,gas,4,7-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,38350
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium quattro w/Prod. End 6/18 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),,yes,,,,,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,25,inline 4,all wheel drive,gas,4,6-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,41050
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium Plus w/Prod. End 6/18 2dr Convertible (2.0L 4cyl Turbo 7AM),,yes,,,,,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,25,inline 4,all wheel drive,gas,4,6-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,41600
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Prestige quattro 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),,yes,,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,28,inline 4,front wheel drive,gas,4,7-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,49500
yes,yes,,,yes,yes,,,yes,,yes,,,,,yes,,,yes,2.0 TFSI Prestige 2dr Convertible (2.0L 4cyl Turbo 7AM),,yes,,,yes,,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,no,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,25,inline 4,all wheel drive,gas,4,6-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,46800
yes,yes,,,yes,yes,,,yes,,yes,,,,,yes,,,yes,2.0 TFSI Premium Summer of Audi 2dr Convertible (2.0L 4cyl Turbo 7AM),,yes,,,yes,,,yes,,yes,,,,yes,,yes,yes,yes,,,,,,,yes,yes,yes,,yes,yes,yes,no,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,28,inline 4,front wheel drive,gas,4,7-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,40050
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium Plus quattro Summer of Audi 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),,yes,,,,,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,25,inline 4,all wheel drive,gas,4,6-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,46200
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium quattro Summer of Audi 2dr Convertible AWD (2.0L 4cyl Turbo 6AM),,yes,,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,28,inline 4,front wheel drive,gas,4,7-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,42750
yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,yes,2.0 TFSI Premium Plus Summer of Audi 2dr Convertible (2.0L 4cyl Turbo 7AM),,yes,,,,,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,28,inline 4,front wheel drive,gas,4,7-speed automated manual,2018 Audi A3 Convertible Features & Specs | Edmunds,43500
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium w/Prod. End 6/18 4dr Sedan (2.0L 4cyl Turbo 7AM),,yes,,,,no,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,7-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,31950
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium Plus quattro w/Prod. End 6/18 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),,yes,,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,all wheel drive,gas,5,6-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,38200
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium quattro w/Prod. End 6/18 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),,yes,,,,no,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,all wheel drive,gas,5,6-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,34950
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium Plus w/Prod. End 6/18 4dr Sedan (2.0L 4cyl Turbo 7AM),,yes,,,,no,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,all wheel drive,gas,5,6-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,35200
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium Summer of Audi 4dr Sedan (2.0L 4cyl Turbo 7AM),,yes,,,,yes,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,7-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,33650
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium quattro Summer of Audi 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),,yes,,,,no,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,186 hp @ 4400 rpm,221 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,29,inline 4,front wheel drive,gas,5,7-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,36650
yes,,,yes,yes,yes,,,,,yes,yes,yes,,,yes,,,yes,2.0 TFSI Premium Plus quattro Summer of Audi 4dr Sedan AWD (2.0L 4cyl Turbo 6AM),,yes,,,,no,,yes,,yes,,,,yes,,yes,yes,yes,,,yes,,,,yes,yes,yes,,yes,yes,yes,yes,2.0 L,gas,Double overhead cam (DOHC),inline 4,220 hp @ 4500 rpm,258 ft-lbs. @ 1600 rpm,36.1 ft.,Variable,16,,yes,4 yr./ 50000 mi.,27,inline 4,all wheel drive,gas,5,6-speed automated manual,2018 Audi A3 Sedan Features & Specs | Edmunds,40100
